Variable code,Description,Units,Temporal grouping,Aggregation
tr_22_delta_1971_2000,30-year climatological average of Number of days with minimum daily temperature above 22 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
tr_22_delta_1991_2020,30-year climatological average of Number of days with minimum daily temperature above 22 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
tx_max,30-year climatological average of Maximum daily maximum temperature.,K,30y average,time: maximum time: maximum over days
tx_max_delta_1971_2000,30-year climatological average of Maximum daily maximum temperature: abs. delta compared to 1971-2000.,K,30y average,time: maximum time: maximum over days
tx_max_delta_1991_2020,30-year climatological average of Maximum daily maximum temperature: abs. delta compared to 1991-2020.,K,30y average,time: maximum time: maximum over days
tx_mean,30-year climatological average of Mean daily maximum temperature.,K,30y average,time: maximum time: mean over days
tx_mean_delta_1971_2000,30-year climatological average of Mean daily maximum temperature: abs. delta compared to 1971-2000.,K,30y average,time: maximum time: mean over days
tx_mean_delta_1991_2020,30-year climatological average of Mean daily maximum temperature: abs. delta compared to 1991-2020.,K,30y average,time: maximum time: mean over days
txgt_25,30-year climatological average of The number of days with maximum temperature above 25 degc.,days,30y average,time: maximum time: sum over days
txgt_25_delta_1971_2000,30-year climatological average of The number of days with maximum temperature above 25 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
txgt_25_delta_1991_2020,30-year climatological average of The number of days with maximum temperature above 25 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
txgt_27,30-year climatological average of The number of days with maximum temperature above 27 degc.,days,30y average,time: maximum time: sum over days
txgt_27_delta_1971_2000,30-year climatological average of The number of days with maximum temperature above 27 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
txgt_27_delta_1991_2020,30-year climatological average of The number of days with maximum temperature above 27 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
txgt_29,30-year climatological average of The number of days with maximum temperature above 29 degc.,days,30y average,time: maximum time: sum over days
txgt_29_delta_1971_2000,30-year climatological average of The number of days with maximum temperature above 29 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
txgt_29_delta_1991_2020,30-year climatological average of The number of days with maximum temperature above 29 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
txgt_30,30-year climatological average of The number of days with maximum temperature above 30 degc.,days,30y average,time: maximum time: sum over days
txgt_30_delta_1971_2000,30-year climatological average of The number of days with maximum temperature above 30 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
txgt_30_delta_1991_2020,30-year climatological average of The number of days with maximum temperature above 30 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
txgt_32,30-year climatological average of The number of days with maximum temperature above 32 degc.,days,30y average,time: maximum time: sum over days
txgt_32_delta_1971_2000,30-year climatological average of The number of days with maximum temperature above 32 degc: abs. delta compared to 1971-2000.,days,30y average,time: maximum time: sum over days
txgt_32_delta_1991_2020,30-year climatological average of The number of days with maximum temperature above 32 degc: abs. delta compared to 1991-2020.,days,30y average,time: maximum time: sum over days
